URL,ZIP Value
https://www.cars.com/shopping/puyallup-wa/,98371
https://www.cars.com/shopping/raleigh-nc/,27668
https://www.cars.com/shopping/ramsey-nj/,07446
https://www.cars.com/shopping/redford-mi/,48239
https://www.cars.com/shopping/reno-nv/,89503
https://www.cars.com/shopping/richmond-va/,23290
https://www.cars.com/shopping/riverside-ca/,92522
https://www.cars.com/shopping/rochester-ny/,14650
https://www.cars.com/shopping/rockwall-tx/,75087
https://www.cars.com/shopping/roseville-ca/,95678
https://www.cars.com/shopping/roswell-ga/,30077
https://www.cars.com/shopping/sacramento-ca/,94299
https://www.cars.com/shopping/salem-or/,97309
https://www.cars.com/shopping/salt_lake_city-ut/,84151
https://www.cars.com/shopping/san_antonio-tx/,78201
https://www.cars.com/shopping/san_diego-ca/,92142
https://www.cars.com/shopping/san_jose-ca/,95111
https://www.cars.com/shopping/santa_monica-ca/,90404
https://www.cars.com/shopping/sarasota-fl/,34276
https://www.cars.com/shopping/schaumburg-il/,60159
https://www.cars.com/shopping/scottsdale-az/,85255
https://www.cars.com/shopping/seattle-wa/,98191
https://www.cars.com/shopping/sioux_falls-sd/,57193
https://www.cars.com/shopping/southfield-mi/,48086
https://www.cars.com/shopping/spokane-wa/,99201
https://www.cars.com/shopping/spring-tx/,77373
https://www.cars.com/shopping/springfield-mo/,65806
https://www.cars.com/shopping/sterling-va/,20164
https://www.cars.com/shopping/stockton-ca/,95211
https://www.cars.com/shopping/tacoma-wa/,98415
https://www.cars.com/shopping/tallahassee-fl/,32399
https://www.cars.com/shopping/tampa-fl/,33673
https://www.cars.com/shopping/taylor-mi/,48180
https://www.cars.com/shopping/temecula-ca/,92593
https://www.cars.com/shopping/toledo-oh/,43657
https://www.cars.com/shopping/troy-mi/,48007
https://www.cars.com/shopping/tucson-az/,85707
https://www.cars.com/shopping/tulsa-ok/,74112
https://www.cars.com/shopping/tyler-tx/,75701
https://www.cars.com/shopping/union_city-ga/,30291
https://www.cars.com/shopping/virginia_beach-va/,23456
https://www.cars.com/shopping/waldorf-md/,20604
https://www.cars.com/shopping/west_palm_beach-fl/,33422
